round,client,attack,seed,alpha,num_byzantine,train_accuracy
1,0,minmax,1,0.5,3,0.10059931506849315
1,1,minmax,1,0.5,3,0.10349264705882352
1,2,minmax,1,0.5,3,0.09635416666666667
1,3,minmax,1,0.5,3,0.10357142857142858
1,4,minmax,1,0.5,3,0.07981418918918919
1,5,minmax,1,0.5,3,0.08453947368421053
1,6,minmax,1,0.5,3,0.10431338028169014
1,7,minmax,1,0.5,3,0.09136284722222222
1,8,minmax,1,0.5,3,0.07954545454545454
1,9,minmax,1,0.5,3,0.08902616279069768
2,0,minmax,1,0.5,3,0.13356164383561644
2,1,minmax,1,0.5,3,0.17113970588235294
2,2,minmax,1,0.5,3,0.13113839285714285
2,3,minmax,1,0.5,3,0.16339285714285715
2,4,minmax,1,0.5,3,0.10029560810810811
2,5,minmax,1,0.5,3,0.09111842105263158
2,6,minmax,1,0.5,3,0.1192781690140845
2,7,minmax,1,0.5,3,0.1506076388888889
2,8,minmax,1,0.5,3,0.10203598484848485
2,9,minmax,1,0.5,3,0.11773255813953488
3,0,minmax,1,0.5,3,0.1500428082191781
3,1,minmax,1,0.5,3,0.15551470588235294
3,2,minmax,1,0.5,3,0.14750744047619047
3,3,minmax,1,0.5,3,0.175
3,4,minmax,1,0.5,3,0.11613175675675676
3,5,minmax,1,0.5,3,0.11858552631578947
3,6,minmax,1,0.5,3,0.1542693661971831
3,7,minmax,1,0.5,3,0.134765625
3,8,minmax,1,0.5,3,0.12334280303030302
3,9,minmax,1,0.5,3,0.11900436046511628
4,0,minmax,1,0.5,3,0.15560787671232876
4,1,minmax,1,0.5,3,0.18290441176470587
4,2,minmax,1,0.5,3,0.14546130952380953
4,3,minmax,1,0.5,3,0.17544642857142856
4,4,minmax,1,0.5,3,0.11549831081081081
4,5,minmax,1,0.5,3,0.11661184210526315
4,6,minmax,1,0.5,3,0.15118838028169015
4,7,minmax,1,0.5,3,0.14952256944444445
4,8,minmax,1,0.5,3,0.1103219696969697
4,9,minmax,1,0.5,3,0.1224563953488372
5,0,minmax,1,0.5,3,0.1701626712328767
5,1,minmax,1,0.5,3,0.18529411764705883
5,2,minmax,1,0.5,3,0.17875744047619047
5,3,minmax,1,0.5,3,0.17901785714285715
5,4,minmax,1,0.5,3,0.12373310810810811
5,5,minmax,1,0.5,3,0.11348684210526316
5,6,minmax,1,0.5,3,0.1817781690140845
5,7,minmax,1,0.5,3,0.1742621527777778
5,8,minmax,1,0.5,3,0.13115530303030304
5,9,minmax,1,0.5,3,0.15152616279069767
6,0,minmax,1,0.5,3,0.1468321917808219
6,1,minmax,1,0.5,3,0.19044117647058822
6,2,minmax,1,0.5,3,0.17559523809523808
6,3,minmax,1,0.5,3,0.18549107142857144
6,4,minmax,1,0.5,3,0.13766891891891891
6,5,minmax,1,0.5,3,0.14983552631578947
6,6,minmax,1,0.5,3,0.1795774647887324
6,7,minmax,1,0.5,3,0.1740451388888889
6,8,minmax,1,0.5,3,0.15080492424242425
6,9,minmax,1,0.5,3,0.14171511627906977
7,0,minmax,1,0.5,3,0.14940068493150685
7,1,minmax,1,0.5,3,0.18970588235294117
7,2,minmax,1,0.5,3,0.15420386904761904
7,3,minmax,1,0.5,3,0.19598214285714285
7,4,minmax,1,0.5,3,0.1389358108108108
7,5,minmax,1,0.5,3,0.13717105263157894
7,6,minmax,1,0.5,3,0.19410211267605634
7,7,minmax,1,0.5,3,0.1994357638888889
7,8,minmax,1,0.5,3,0.14891098484848486
7,9,minmax,1,0.5,3,0.17042151162790697
8,0,minmax,1,0.5,3,0.1660958904109589
8,1,minmax,1,0.5,3,0.20625
8,2,minmax,1,0.5,3,0.22079613095238096
8,3,minmax,1,0.5,3,0.22254464285714284
8,4,minmax,1,0.5,3,0.15899493243243243
8,5,minmax,1,0.5,3,0.15986842105263158
8,6,minmax,1,0.5,3,0.1993838028169014
8,7,minmax,1,0.5,3,0.2055121527777778
8,8,minmax,1,0.5,3,0.14441287878787878
8,9,minmax,1,0.5,3,0.18931686046511628
9,0,minmax,1,0.5,3,0.19648972602739725
9,1,minmax,1,0.5,3,0.21470588235294116
